Capability,TownBell demonstrates,Replay source,Direct Reconstructed Inferred etc,Likely algorithm,Accuracy confidence,Required raw fields,Age of Friends use,V1 V2 Future
Blacksmith upgrades [blacksmith_upgrades],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
First blacksmith upgrade [first_blacksmith_upgrade],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Attack upgrades 20min [attack_upgrades_20min],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Armor upgrades 20min [armor_upgrades_20min],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Upgrade lag dominant line [upgrade_lag_dominant_line],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Unit line upgrades [unit_line_upgrades],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
University techs [university_techs],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Ballistics time [ballistics_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Bloodlines time [bloodlines_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Thumb ring time [thumb_ring_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Castles built [castles_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First castle [first_castle],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Tech switches [tech_switches],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Army value before first fight [army_value_before_first_fight],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Production intensity castle age [production_intensity_castle_age],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
Fights count [fights_count],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
First fight [first_fight],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Total fight time [total_fight_time],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Fight command share [fight_command_share],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Apm in fights [apm_in_fights],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Eco actions during fights [eco_actions_during_fights],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Formations set [formations_set],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Preferred formation [preferred_formation],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Stance changes [stance_changes],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Patrol commands [patrol_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Attack ground commands [attack_ground_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Attack move commands [attack_move_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Garrison commands [garrison_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Ungarrison commands [ungarrison_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Back to work commands [back_to_work_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Deletions [deletions],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Stop commands [stop_commands],Yes in supplied public JSON export,"Explicit combat-control commands such as PATROL, ATTACK_GROUND, DE_ATTACK_MOVE, stance, formation, garrison and repair",B,"Count or normalize explicit command types, optionally divide by queue-derived unit families",High for command counts; low for combat effectiveness,"timestamp, actor, action type, selected ids, target ids and coordinates",Army-control habits and execution fundamentals,V1 counts then V2 interpretation
Raids suffered [raids_suffered],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Raid response time [raid_response_time],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Raids initiated [raids_initiated],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Micro intensity [micro_intensity],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Army matchup [army_matchup],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Army matchup margin [army_matchup_margin],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Missing upgrade [missing_upgrade],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Missing upgrade gain [missing_upgrade_gain],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Upgrade deficit family [upgrade_deficit_family],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Fights on low ground [fights_on_low_ground],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Fight elevation delta [fight_elevation_delta],Yes in supplied public JSON export,"MOVE, ORDER, PATROL, attack commands, command coordinates, initial player anchors and terrain",C,"Cluster hostile-looking commands in time and space, assign participants and compare later response or overlap windows","Medium at best; detects command activity, not damage, deaths, fight outcome or actual unit position","timestamp, actor, action type, selected ids, target id, x and y, terrain, diplomacy-at-time","Pairwise aggression graph, pressure history, response proxies, performance and rivalry inputs",V2
Forward buildings [forward_buildings],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Deepest forward building [deepest_forward_building],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Building spread [building_spread],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Expansions claimed [expansions_claimed],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Map command coverage [map_command_coverage],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Enemy half presence [enemy_half_presence],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Scout coverage 5min [scout_coverage_5min],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Scout commands 5min [scout_commands_5min],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
First enemy base look [first_enemy_base_look],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Wall tiles total [wall_tiles_total],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Palisade tiles [palisade_tiles],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Stone wall tiles [stone_wall_tiles],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Gates built [gates_built],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Towers built [towers_built],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Forward towers [forward_towers],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Wall segments [wall_segments],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Avg wall segment tiles [avg_wall_segment_tiles],Yes in supplied public JSON export,"WALL, BUILD and GATE commands",A plus B,Expand wall endpoints into tile geometry and count placement commands by normalized structure type,High for ordered geometry; completion and survival are not observed,"timestamp, actor, building id, x1, y1, x2, y2, gate object id","Fortification tendency, chokepoints, defensive investment and map presence",V1
Nearest gold distance [nearest_gold_distance],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Nearest stone distance [nearest_stone_distance],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Hunt nearby [hunt_nearby],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Camera coverage [camera_coverage],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
Camera home share [camera_home_share],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
Camera on fights [camera_on_fights],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
Camera entropy [camera_entropy],Yes in supplied public JSON export,Recorder VIEWLOCK operations plus command coordinates,E plus B or C,"Aggregate the single recorded camera path into cells, pans, jumps, fight overlap or command visibility",High for the recorder; unavailable for every other player; offscreen intent is heuristic,"timestamp, camera x and y, recorder player id, command x and y",Recorder attention and execution profile; never a league-wide fact for non-recorders,V2
Gold near start [gold_near_start],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Stone near start [stone_near_start],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Food objects near start [food_objects_near_start],Yes in supplied public JSON export,Initial map objects and coordinates; ORDER or SPECIAL target ids for touches,B,"Normalize resource objects, measure distances from a versioned start anchor, or count commands targeting them",High for initial-object geometry; touch semantics depend on target decoding,"initial object type and instance ids, x and y, player anchor, target ids","Map fairness, resource access, relic interest and event-rule context",V1
Mining camp distance [mining_camp_distance],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Mill distance [mill_distance],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Map character [map_character],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
Map water [map_water],Yes in supplied public JSON export,"Initial map tiles and objects plus BUILD, WALL and command coordinates",B or C,"Compute geometry relative to versioned start anchors, player regions, map halves or resource clusters","High for raw geometry; medium for labels such as forward, control, scouting or team role","map dimensions, terrain, elevation, initial objects, player anchors, action coordinates, building ids","Map presence, expansion, territorial pressure, defensive posture and pairwise spatial activity",V1 fundamentals then V2 labels
